,timestamp, AccelerationX, AccelerationY, AccelerationZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Z-AxisAgle(Azimuth), X-AxisAngle(Pitch), Y-AxisAngle(Roll), GyroX, GyroY, GyroZ,placeID,y0,y1
0,1422629483421,-3.577,2.104,9.078,-5.4,-17.9,-28.2,126.404,-12.169,-21.000999999999998,0,0,0,-1,0.6,0.6
1,1422629483520,-3.424,2.927,9.374,-4.3,-21.9,-26.9,134.694,-11.322000000000001,-25.898000000000003,0,0,0,-1,0.6,0.6
2,1422629483620,-2.505,2.908,8.867,-0.7,-24.4,-26.5,150.906,-17.523,-15.017000000000001,0,0,0,-1,0.6,0.6
3,1422629483723,-5.473,1.472,9.394,0.3,-25.7,-26.9,138.02200000000002,-21.068,-23.941,0,0,0,-1,0.6,0.6
4,1422629483822,-3.4139999999999997,2.0180000000000002,8.187000000000001,3.7,-29.6,-23.9,163.519,-12.814,-22.046,0,0,0,-1,0.6,0.6
5,1422629483922,-3.3569999999999998,1.893,7.756,6.4,-31.5,-22.4,174.00900000000001,-2.7569999999999997,-23.034000000000002,0,0,0,-1,0.6,0.6
6,1422629484022,-4.123,1.999,8.963,10.3,-31.5,-23.0,176.887,-11.444,-24.183000000000003,0,0,0,-1,0.6,0.6
7,1422629484122,-3.395,3.2430000000000003,9.068,11.4,-32.3,-22.5,183.704,-18.518,-19.419,0,0,0,-1,0.6,0.6
8,1422629484222,-2.189,2.985,11.443,11.4,-33.1,-21.5,192.449,-13.901,-11.94,0,0,0,-1,0.6,0.6
9,1422629484322,-1.729,1.328,13.061,11.4,-34.3,-21.5,194.59799999999998,-5.752000000000001,-7.5,0,0,0,-1,0.6,0.6
10,1422629484422,-2.2840000000000003,1.271,10.131,12.2,-35.9,-19.4,190.64,-6.457000000000001,-14.908,0,0,0,-1,0.6,0.6
11,1422629484522,-3.51,0.9740000000000001,8.34,13.6,-36.9,-18.0,187.957,-6.1370000000000005,-22.677,0,0,0,-1,0.6,0.6
12,1422629484622,-2.945,1.577,8.934,10.4,-38.9,-16.0,181.42,-4.313,-27.963,0,0,0,-1,0.6,0.6
13,1422629484722,-2.399,2.161,9.039,4.0,-41.3,-13.5,178.895,-13.011,-14.470999999999998,0,0,0,-1,0.6,0.6
14,1422629484822,-2.457,1.558,8.963,-5.6,-41.3,-11.2,166.80900000000003,-9.509,-15.109000000000002,0,0,0,-1,0.6,0.6
15,1422629484922,-1.355,3.406,13.165999999999999,-19.4,-33.7,-10.1,144.721,-10.325,-19.409000000000002,0,0,0,-1,0.6,0.6
16,1422629485022,-0.7140000000000001,3.2430000000000003,11.797,-28.3,-23.6,-11.2,124.509,-15.341,-3.333,0,0,0,-1,0.6,0.6
17,1422629485122,-2.543,2.41,8.369,-31.5,-13.2,-13.6,104.648,-19.02,-6.605,0,0,0,-1,0.6,0.6
18,1422629485222,-0.6659999999999999,4.373,10.227,-32.1,-4.6,-14.2,88.23,-23.108,-3.424,0,0,0,-1,0.6,0.6
19,1422629485322,0.301,2.937,8.015,-29.4,-1.9,-17.2,84.131,-15.809000000000001,0.638,0,0,0,-1,0.6,0.6
20,1422629485422,0.253,2.64,8.177,-25.9,-1.9,-19.9,79.882,-17.89,1.6780000000000002,0,0,0,-1,0.6,0.6
21,1422629485522,1.527,3.1860000000000004,8.57,-24.3,-1.9,-21.3,72.68,-20.099,9.474,0,0,0,-1,0.6,0.6
22,1422629485622,0.273,2.391,8.024,-21.8,-1.1,-23.9,69.166,-18.317,7.697,0,0,0,-1,0.6,0.6
23,1422629485721,0.9329999999999999,2.42,8.704,-21.8,0.6,-24.3,69.31,-15.446,5.888,0,0,0,-1,0.6,0.6
24,1422629485822,1.565,3.014,9.796,-21.8,1.3,-24.9,67.002,-16.031,4.7330000000000005,0,0,0,-1,0.6,0.6
25,1422629485922,0.579,2.525,7.526,-20.8,1.3,-25.8,62.928999999999995,-18.503,4.1610000000000005,0,0,0,-1,0.6,0.6
26,1422629486022,-0.015,3.2910000000000004,8.264,-19.9,2.3,-25.8,59.271,-20.756999999999998,1.946,0,0,0,-1,0.6,0.6
27,1422629486122,-0.39799999999999996,3.387,10.217,-19.1,3.6,-26.4,59.946999999999996,-18.323,-2.115,0,0,0,-1,0.6,0.6
28,1422629486222,-0.40700000000000003,3.234,9.671,-18.1,4.9,-27.7,55.233999999999995,-18.477999999999998,-2.278,0,0,0,-1,0.6,0.6
29,1422629486322,-1.2790000000000001,1.51,12.017000000000001,-18.5,6.5,-27.3,54.648999999999994,-18.367,-4.322,0,0,0,-1,0.6,0.6
30,1422629486422,-1.212,1.252,10.744000000000002,-19.7,8.3,-26.4,63.699,-6.603,-6.3870000000000005,0,0,0,-1,0.6,0.6
31,1422629486522,0.9329999999999999,2.305,10.131,-19.7,11.0,-26.0,45.678999999999995,-17.184,2.231,0,0,0,-1,0.6,0.6
32,1422629486622,0.809,2.2569999999999997,8.474,-18.8,13.0,-26.0,40.207,-14.852,5.257999999999999,0,0,0,-1,0.6,0.6
33,1422629486722,1.125,1.922,9.633,-18.8,13.0,-26.4,39.882,-12.948,6.666,0,0,0,-1,0.6,0.6
34,1422629486822,1.0859999999999999,2.4290000000000003,9.7,-19.3,13.0,-26.0,40.782,-13.978,6.196000000000001,0,0,0,-1,0.6,0.6
35,1422629486922,0.636,2.104,8.896,-19.3,13.9,-26.4,41.568000000000005,-13.273,3.972,0,0,0,-1,0.6,0.6
36,1422629487022,1.45,2.276,9.93,-19.3,13.9,-26.4,40.334,-13.262,5.4910000000000005,0,0,0,-1,0.6,0.6
37,1422629487122,1.048,2.133,9.556000000000001,-19.3,13.9,-25.8,40.573,-12.507,6.101,0,0,0,-1,0.6,0.6
38,1422629487222,1.163,2.238,9.078,-19.3,13.9,-25.8,39.475,-14.447000000000001,6.135,0,0,0,-1,0.6,0.6
39,1422629487322,0.7509999999999999,1.9409999999999998,9.394,-19.3,13.2,-26.2,43.196999999999996,-11.630999999999998,4.468,0,0,0,-1,0.6,0.6
40,1422629487422,1.01,2.315,9.154,-19.3,12.8,-26.2,41.973,-13.595,5.187,0,0,0,-1,0.6,0.6
41,1422629487522,0.972,2.324,9.374,-19.3,12.8,-26.2,41.358999999999995,-13.845,5.739,0,0,0,-1,0.6,0.6
42,1422629487622,0.838,2.659,9.078,-19.3,12.4,-26.2,41.273999999999994,-16.259,5.047,0,0,0,-1,0.6,0.6
43,1422629487727,0.177,2.6310000000000002,9.087,-19.3,12.8,-26.2,42.478,-17.362000000000002,1.857,0,0,0,-1,0.6,0.6
44,1422629487819,-0.139,2.793,8.905,-18.7,12.8,-26.7,43.411,-17.402,-0.8420000000000001,0,0,0,-1,0.6,0.6
45,1422629487919,-0.331,2.659,9.394,-18.7,12.8,-26.7,42.592,-19.289,-1.058,0,0,0,-1,0.6,0.6
46,1422629488020,-0.273,2.765,9.279,-17.2,13.4,-26.7,41.332,-16.578,-1.611,0,0,0,-1,0.6,0.6
47,1422629488120,-0.264,2.841,9.613999999999999,-15.4,14.0,-27.1,36.704,-17.465,-1.31,0,0,0,-1,0.6,0.6
48,1422629488219,-0.024,2.793,9.891,-14.7,14.5,-27.1,34.571999999999996,-15.764000000000001,-0.125,0,0,0,-1,0.6,0.6
49,1422629488320,-0.187,2.736,9.24,-14.7,14.5,-27.7,34.833,-16.483,-1.107,0,0,0,-1,0.6,0.6
50,1422629488483,0.924,2.736,8.618,-15.3,13.7,-27.7,36.705,-15.690999999999999,-0.364,0,0,0,-1,0.6,0.6
51,1422629488521,0.924,2.736,8.618,-16.2,13.7,-27.7,31.866,-17.514,5.834,0,0,0,-1,0.6,0.6
52,1422629488621,-0.762,2.449,8.838,-16.2,13.7,-27.7,32.708,-17.389,5.003,0,0,0,-1,0.6,0.6
53,1422629488721,-0.8859999999999999,2.228,11.969000000000001,-16.6,15.0,-27.7,43.06,-10.517000000000001,-4.157,0,0,0,-1,0.6,0.6
54,1422629488822,0.502,2.698,9.891,-16.6,16.4,-27.7,38.586,-12.172,-1.949,0,0,0,-1,0.6,0.6
55,1422629488921,0.9329999999999999,2.468,9.03,-15.6,16.8,-27.7,28.614,-15.196,5.685,0,0,0,-1,0.6,0.6
56,1422629489021,0.742,1.989,8.637,-15.6,16.8,-27.7,30.374000000000002,-12.921,4.78,0,0,0,-1,0.6,0.6
57,1422629489123,0.7509999999999999,2.1519999999999997,8.79,-15.6,16.8,-27.7,29.774,-13.674000000000001,5.086,0,0,0,-1,0.6,0.6
58,1422629489219,0.78,2.362,9.135,-15.6,17.5,-28.2,28.951999999999998,-14.445,4.715,0,0,0,-1,0.6,0.6
59,1422629489321,0.445,2.401,8.704,-15.6,17.5,-28.2,29.194000000000003,-14.431,4.454,0,0,0,-1,0.6,0.6
60,1422629489421,0.37799999999999995,2.324,8.847999999999999,-15.6,17.5,-28.2,30.912,-14.695,2.3569999999999998,0,0,0,-1,0.6,0.6
